GID	GO_ONTOLOGY	GO_ID	GO_TERM_NAME	GO_EVIDENCE_CODE
CNAG_00031	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00031	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00031	Cellular Component	GO:0042025	host cell nucleus	IEA
CNAG_00031	Biological Process	GO:0042438	melanin biosynthetic process	IMP
CNAG_00032	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_00034	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_00034	Cellular Component	GO:0005840	ribosome	IEA
CNAG_00034	Biological Process	GO:0006412	translation	IEA
CNAG_00034	Molecular Function	GO:0019843	rRNA binding	IEA
CNAG_00034	Cellular Component	GO:1903561	extracellular vesicle	HDA
CNAG_00035	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00035	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00035	Molecular Function	GO:0043565	sequence-specific DNA binding	IEA
CNAG_00038	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00038	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00038	Biological Process	GO:0072721	cellular response to dithiothreitol	HMP
CNAG_00039	Biological Process	GO:0010335	response to non-ionic osmotic stress	HMP
CNAG_00039	Biological Process	GO:0072706	response to sodium dodecyl sulfate	HMP
CNAG_00040	Molecular Function	GO:0004497	monooxygenase activity	IEA
CNAG_00040	Molecular Function	GO:0005506	iron ion binding	IEA
CNAG_00040	Molecular Function	GO:0008168	methyltransferase activity	IEA
CNAG_00040	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00040	Molecular Function	GO:0016705	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	IEA
CNAG_00040	Molecular Function	GO:0020037	heme binding	IEA
CNAG_00040	Biological Process	GO:0032259	methylation	IEA
CNAG_00040	Biological Process	GO:0042493	response to drug	IMP
CNAG_00040	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00044	Molecular Function	GO:0003924	GTPase activity	IEA
CNAG_00044	Molecular Function	GO:0005525	GTP binding	IEA
CNAG_00045	Cellular Component	GO:0005783	endoplasmic reticulum	IEA
CNAG_00046	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00046	Cellular Component	GO:0005838	proteasome regulatory particle	IEA
CNAG_00046	Molecular Function	GO:0008237	metallopeptidase activity	IEA
CNAG_00046	Molecular Function	GO:0070122	isopeptidase activity	IEA
CNAG_00047	Molecular Function	GO:0004672	protein kinase activity	IEA
CNAG_00047	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00047	Cellular Component	GO:0005759	mitochondrial matrix	IEA
CNAG_00047	Biological Process	GO:0016310	phosphorylation	IEA
CNAG_00047	Molecular Function	GO:0016772	"transferase activity, transferring phosphorus-containing groups"	IEA
CNAG_00047	Biological Process	GO:0071472	cellular response to salt stress	HMP
CNAG_00048	Biological Process	GO:0008643	carbohydrate transport	IEA
CNAG_00048	Cellular Component	GO:0016020	membrane	IEA
CNAG_00048	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00048	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_00048	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00050	Molecular Function	GO:0008253	5'-nucleotidase activity	IEA
CNAG_00050	Biological Process	GO:0009264	deoxyribonucleotide catabolic process	IEA
CNAG_00051	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00052	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00053	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00055	Molecular Function	GO:0003700	DNA-binding transcription factor activity	IEA
CNAG_00055	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00057	Biological Process	GO:0005975	carbohydrate metabolic process	IEA
CNAG_00057	Molecular Function	GO:0016791	phosphatase activity	IEA
CNAG_00057	Molecular Function	GO:0042132	"fructose 1,6-bisphosphate 1-phosphatase activity"	IEA
CNAG_00057	Molecular Function	GO:0042578	phosphoric ester hydrolase activity	IEA
CNAG_00057	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_00057	Biological Process	GO:1905181	regulation of urease activity	HMP
CNAG_00058	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00058	Biological Process	GO:0006457	protein folding	IEA
CNAG_00058	Molecular Function	GO:0051082	unfolded protein binding	IEA
CNAG_00060	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00060	Biological Process	GO:0006457	protein folding	IEA
CNAG_00060	Biological Process	GO:0009408	response to heat	IEA
CNAG_00060	Molecular Function	GO:0031072	heat shock protein binding	IEA
CNAG_00060	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_00060	Molecular Function	GO:0051082	unfolded protein binding	IEA
CNAG_00061	Molecular Function	GO:0004108	citrate (Si)-synthase activity	IEA
CNAG_00061	Biological Process	GO:0006099	tricarboxylic acid cycle	IEA
CNAG_00061	Biological Process	GO:0006101	citrate metabolic process	IEA
CNAG_00061	Molecular Function	GO:0046912	"acyltransferase, acyl groups converted into alkyl on transfer"	IEA
CNAG_00061	Cellular Component	GO:1903561	extracellular vesicle	HDA
CNAG_00062	Cellular Component	GO:0000502	proteasome complex	IEA
CNAG_00062	Molecular Function	GO:0030234	enzyme regulator activity	IEA
CNAG_00062	Biological Process	GO:0042176	regulation of protein catabolic process	IEA
CNAG_00063	Cellular Component	GO:0000776	kinetochore	IDA
CNAG_00063	Cellular Component	GO:0000786	nucleosome	IEA
CNAG_00063	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00063	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00063	Molecular Function	GO:0046982	protein heterodimerization activity	IEA
CNAG_00064	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00065	Biological Process	GO:0046907	intracellular transport	IEA
CNAG_00066	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00067	Cellular Component	GO:0005789	endoplasmic reticulum membrane	IEA
CNAG_00067	Biological Process	GO:0006605	protein targeting	IEA
CNAG_00067	Biological Process	GO:0006886	intracellular protein transport	IEA
CNAG_00067	Biological Process	GO:0015031	protein transport	IEA
CNAG_00067	Molecular Function	GO:0015450	protein-transporting ATPase activity	IEA
CNAG_00067	Cellular Component	GO:0016020	membrane	IEA
CNAG_00067	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00072	Molecular Function	GO:0003756	protein disulfide isomerase activity	IEA
CNAG_00072	Cellular Component	GO:0005783	endoplasmic reticulum	IEA
CNAG_00072	Biological Process	GO:0045454	cell redox homeostasis	IEA
CNAG_00073	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00073	Molecular Function	GO:0005516	calmodulin binding	IEA
CNAG_00073	Cellular Component	GO:0016020	membrane	IEA
CNAG_00074	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00076	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_00076	Biological Process	GO:0006281	DNA repair	IEA
CNAG_00076	Biological Process	GO:0006284	base-excision repair	IEA
CNAG_00076	Molecular Function	GO:0016787	hydrolase activity	IEA
CNAG_00076	Molecular Function	GO:0016798	"hydrolase activity, acting on glycosyl bonds"	IEA
CNAG_00076	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_00076	Molecular Function	GO:0051539	"4 iron, 4 sulfur cluster binding"	IEA
CNAG_00077	Molecular Function	GO:0008271	secondary active sulfate transmembrane transporter activity	IEA
CNAG_00077	Biological Process	GO:0008272	sulfate transport	IEA
CNAG_00077	Molecular Function	GO:0015116	sulfate transmembrane transporter activity	IEA
CNAG_00077	Cellular Component	GO:0016020	membrane	IEA
CNAG_00077	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00077	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00078	Molecular Function	GO:0008271	secondary active sulfate transmembrane transporter activity	IEA
CNAG_00078	Biological Process	GO:0008272	sulfate transport	IEA
CNAG_00078	Molecular Function	GO:0015116	sulfate transmembrane transporter activity	IEA
CNAG_00078	Cellular Component	GO:0016020	membrane	IEA
CNAG_00078	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00078	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00081	Biological Process	GO:0000398	"mRNA splicing, via spliceosome"	IEA
CNAG_00081	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00081	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00081	Biological Process	GO:0006396	RNA processing	IEA
CNAG_00082	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00082	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_00082	Biological Process	GO:0016226	iron-sulfur cluster assembly	IEA
CNAG_00082	Molecular Function	GO:0046872	metal ion binding	IEA
CNAG_00082	Molecular Function	GO:0051539	"4 iron, 4 sulfur cluster binding"	IEA
CNAG_00083	Molecular Function	GO:0005515	protein binding	IPI
CNAG_00083	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00083	Biological Process	GO:0007094	mitotic spindle assembly checkpoint signaling	IEA
CNAG_00083	Cellular Component	GO:0035098	ESC/E(Z) complex	IPI
CNAG_00084	Molecular Function	GO:0000166	nucleotide binding	IEA
CNAG_00084	Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	IEA
CNAG_00084	Molecular Function	GO:0004819	glutamine-tRNA ligase activity	IEA
CNAG_00084	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00084	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_00084	Biological Process	GO:0006412	translation	IEA
CNAG_00084	Biological Process	GO:0006418	tRNA aminoacylation for protein translation	IEA
CNAG_00084	Biological Process	GO:0006425	glutaminyl-tRNA aminoacylation	IEA
CNAG_00084	Biological Process	GO:0043039	tRNA aminoacylation	IEA
CNAG_00085	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00085	Biological Process	GO:0006333	chromatin assembly or disassembly	IEA
CNAG_00086	Molecular Function	GO:0000049	tRNA binding	IEA
CNAG_00086	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00086	Molecular Function	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	IEA
CNAG_00086	Biological Process	GO:0008033	tRNA processing	IEA
CNAG_00087	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00087	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_00088	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00088	Cellular Component	GO:0016020	membrane	IEA
CNAG_00089	Cellular Component	GO:0000178	exosome (RNase complex)	IEA
CNAG_00089	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00089	Cellular Component	GO:0005737	cytoplasm	IEA
CNAG_00092	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00092	Biological Process	GO:0006850	mitochondrial pyruvate transmembrane transport	IEA
CNAG_00092	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00093	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00094	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_00096	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00097	Cellular Component	GO:0016020	membrane	IEA
CNAG_00097	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00097	Molecular Function	GO:0022857	transmembrane transporter activity	IEA
CNAG_00097	Biological Process	GO:0055085	transmembrane transport	IEA
CNAG_00098	Biological Process	GO:0002084	protein depalmitoylation	IEA
CNAG_00098	Molecular Function	GO:0008474	palmitoyl-(protein) hydrolase activity	IEA
CNAG_00098	Molecular Function	GO:0098599	palmitoyl hydrolase activity	IEA
CNAG_00099	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00099	Molecular Function	GO:0003678	DNA helicase activity	IEA
CNAG_00099	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00099	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00099	Biological Process	GO:0006260	DNA replication	IEA
CNAG_00099	Biological Process	GO:0006270	DNA replication initiation	IEA
CNAG_00099	Cellular Component	GO:0042555	MCM complex	IEA
CNAG_00100	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00101	Biological Process	GO:0006673	inositol phosphoceramide metabolic process	IEA
CNAG_00101	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00101	Molecular Function	GO:0070917	inositol phosphoceramide synthase regulator activity	IEA
CNAG_00104	Molecular Function	GO:0003746	translation elongation factor activity	IEA
CNAG_00104	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00104	Molecular Function	GO:0016887	ATP hydrolysis activity	IEA
CNAG_00106	Molecular Function	GO:0000155	phosphorelay sensor kinase activity	IEA
CNAG_00106	Biological Process	GO:0000160	phosphorelay signal transduction system	IEA
CNAG_00106	Biological Process	GO:0007165	signal transduction	IEA
CNAG_00106	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00106	Biological Process	GO:0016310	phosphorylation	IEA
CNAG_00106	Molecular Function	GO:0016772	"transferase activity, transferring phosphorus-containing groups"	IEA
CNAG_00106	Biological Process	GO:0072736	cellular response to tert-butyl hydroperoxide	HMP
CNAG_00107	Cellular Component	GO:0005743	mitochondrial inner membrane	IEA
CNAG_00107	Biological Process	GO:0006811	ion transport	IEA
CNAG_00107	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00107	Biological Process	GO:0051560	mitochondrial calcium ion homeostasis	IEA
CNAG_00108	Molecular Function	GO:0003678	DNA helicase activity	IEA
CNAG_00108	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00108	Biological Process	GO:0006281	DNA repair	IEA
CNAG_00108	Biological Process	GO:0006325	chromatin organization	IEA
CNAG_00108	Cellular Component	GO:0031011	Ino80 complex	IEA
CNAG_00108	Cellular Component	GO:0035267	NuA4 histone acetyltransferase complex	IEA
CNAG_00108	Molecular Function	GO:0043139	5'-3' DNA helicase activity	IEA
CNAG_00108	Cellular Component	GO:0097255	R2TP complex	IEA
CNAG_00109	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_00109	Cellular Component	GO:0005840	ribosome	IEA
CNAG_00109	Biological Process	GO:0006412	translation	IEA
CNAG_00110	Molecular Function	GO:0003779	actin binding	IEA
CNAG_00110	Molecular Function	GO:0017048	Rho GTPase binding	IEA
CNAG_00110	Biological Process	GO:0030036	actin cytoskeleton organization	IEA
CNAG_00111	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00111	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00111	Cellular Component	GO:0005681	spliceosomal complex	IEA
CNAG_00111	Biological Process	GO:0006396	RNA processing	IEA
CNAG_00111	Biological Process	GO:0006397	mRNA processing	IEA
CNAG_00111	Biological Process	GO:0008380	RNA splicing	IEA
CNAG_00115	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00115	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00115	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00116	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00116	Molecular Function	GO:0003735	structural constituent of ribosome	IEA
CNAG_00116	Biological Process	GO:0006412	translation	IEA
CNAG_00116	Cellular Component	GO:0015935	small ribosomal subunit	IEA
CNAG_00117	Cellular Component	GO:0016020	membrane	IEA
CNAG_00117	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00117	Biological Process	GO:0016126	sterol biosynthetic process	IEA
CNAG_00117	Molecular Function	GO:0016628	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"	IEA
CNAG_00117	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00118	Biological Process	GO:0043248	proteasome assembly	IEA
CNAG_00120	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00121	Molecular Function	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity	IEA
CNAG_00121	Biological Process	GO:0005975	carbohydrate metabolic process	IEA
CNAG_00121	Biological Process	GO:0006072	glycerol-3-phosphate metabolic process	IEA
CNAG_00121	Cellular Component	GO:0009331	glycerol-3-phosphate dehydrogenase complex	IEA
CNAG_00121	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00121	Molecular Function	GO:0016616	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	IEA
CNAG_00121	Molecular Function	GO:0042803	protein homodimerization activity	IEA
CNAG_00121	Biological Process	GO:0046168	glycerol-3-phosphate catabolic process	IEA
CNAG_00121	Molecular Function	GO:0051287	NAD binding	IEA
CNAG_00121	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00122	Molecular Function	GO:0003824	catalytic activity	IEA
CNAG_00122	Molecular Function	GO:0004556	alpha-amylase activity	IEA
CNAG_00122	Molecular Function	GO:0005509	calcium ion binding	IEA
CNAG_00122	Biological Process	GO:0005975	carbohydrate metabolic process	IEA
CNAG_00122	Biological Process	GO:0016052	carbohydrate catabolic process	IEA
CNAG_00122	Molecular Function	GO:0103025	alpha-amylase activity (releasing maltohexaose)	IEA
CNAG_00123	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00124	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00125	Biological Process	GO:0007618	mating	IMP
CNAG_00125	Biological Process	GO:0009968	negative regulation of signal transduction	IEA
CNAG_00125	Biological Process	GO:0030447	filamentous growth	IMP
CNAG_00125	Biological Process	GO:0035556	intracellular signal transduction	IEA
CNAG_00126	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00129	Cellular Component	GO:0016021	integral component of membrane	IEA
CNAG_00130	Molecular Function	GO:0004672	protein kinase activity	IEA
CNAG_00130	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00130	Biological Process	GO:0006468	protein phosphorylation	IEA
CNAG_00130	Biological Process	GO:0048023	positive regulation of melanin biosynthetic process	HMP
CNAG_00130	Biological Process	GO:0060992	response to fungicide	IMP
CNAG_00130	Biological Process	GO:0071236	cellular response to antibiotic	HMP
CNAG_00130	Biological Process	GO:0072703	cellular response to methyl methanesulfonate	HMP
CNAG_00130	Biological Process	GO:0072721	cellular response to dithiothreitol	HMP
CNAG_00130	Biological Process	GO:0072738	cellular response to diamide	HMP
CNAG_00130	Biological Process	GO:1901914	negative regulation of capsule organization	HMP
CNAG_00130	Biological Process	GO:1905181	regulation of urease activity	HMP
CNAG_00131	Molecular Function	GO:0008270	zinc ion binding	IEA
CNAG_00131	Molecular Function	GO:0016491	oxidoreductase activity	IEA
CNAG_00131	Biological Process	GO:0055114	obsolete oxidation-reduction process	IEA
CNAG_00132	Molecular Function	GO:0003700	DNA-binding transcription factor activity	IEA
CNAG_00132	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00133	Molecular Function	GO:0003677	DNA binding	IEA
CNAG_00133	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00133	Biological Process	GO:0006355	"regulation of transcription, DNA-templated"	IEA
CNAG_00134	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00135	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_00135	Molecular Function	GO:0003723	RNA binding	IEA
CNAG_00136	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00136	Biological Process	GO:0006464	cellular protein modification process	IEA
CNAG_00136	Molecular Function	GO:0008641	ubiquitin-like modifier activating enzyme activity	IEA
CNAG_00136	Biological Process	GO:0016567	protein ubiquitination	IEA
CNAG_00138	Biological Process	GO:0006744	ubiquinone biosynthetic process	IEA
CNAG_00138	Molecular Function	GO:0008168	methyltransferase activity	IEA
CNAG_00138	Cellular Component	GO:0031314	extrinsic component of mitochondrial inner membrane	IEA
CNAG_00138	Biological Process	GO:0032259	methylation	IEA
CNAG_00138	Molecular Function	GO:0043333	"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity"	IEA
CNAG_00139	Molecular Function	GO:0005515	protein binding	IEA
CNAG_00140	Biological Process	GO:0000398	"mRNA splicing, via spliceosome"	IEA
CNAG_00140	Molecular Function	GO:0003676	nucleic acid binding	IEA
CNAG_00140	Cellular Component	GO:0005685	U1 snRNP	IEA
CNAG_00140	Cellular Component	GO:0019013	viral nucleocapsid	IEA
CNAG_00140	Molecular Function	GO:0030619	U1 snRNA binding	IEA
CNAG_00141	Molecular Function	GO:0004497	monooxygenase activity	IEA
CNAG_00141	Molecular Function	GO:0071949	FAD binding	IEA
CNAG_00142	Cellular Component	GO:0005634	nucleus	IEA
CNAG_00142	Cellular Component	GO:0005730	nucleolus	IEA
CNAG_00142	Biological Process	GO:0006364	rRNA processing	IEA
CNAG_00143	Molecular Function	GO:0000166	nucleotide binding	IEA
CNAG_00143	Molecular Function	GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	IEA
CNAG_00143	Molecular Function	GO:0004812	aminoacyl-tRNA ligase activity	IEA
CNAG_00143	Molecular Function	GO:0005524	ATP binding	IEA
CNAG_00143	Biological Process	GO:0006164	purine nucleotide biosynthetic process	IEA
CNAG_00143	Biological Process	GO:0006189	'de novo' IMP biosynthetic process	IEA
CNAG_00143	Biological Process	GO:0006418	tRNA aminoacylation for protein translation	IEA
CNAG_00146	Biological Process	GO:0007618	mating	HMP
CNAG_00146	Molecular Function	GO:0016787	hydrolase activity	IEA
CNAG_00146	Biological Process	GO:0034605	cellular response to heat	HMP
CNAG_00146	Biological Process	GO:1904577	cellular response to tunicamycin	HMP
